27-Dec-2023 21:29:02 - num of feature = 2308
27-Dec-2023 21:35:38 - iter: 43/70 time: 1.1308s fit: 0.01835
27-Dec-2023 21:35:39 - iter: 44/70 time: 1.1068s fit: 0.017188
27-Dec-2023 21:35:40 - iter: 45/70 time: 1.1037s fit: 0.0177
27-Dec-2023 21:35:41 - iter: 46/70 time: 1.1497s fit: 0.019215
27-Dec-2023 21:35:42 - iter: 47/70 time: 1.1297s fit: 0.01957
27-Dec-2023 21:35:43 - iter: 48/70 time: 1.1341s fit: 0.019616
27-Dec-2023 21:35:44 - iter: 49/70 time: 1.134s fit: 0.01952
27-Dec-2023 21:35:46 - iter: 50/70 time: 1.13s fit: 0.019439
27-Dec-2023 21:35:47 - iter: 51/70 time: 1.1076s fit: 0.016486
27-Dec-2023 21:35:48 - iter: 52/70 time: 1.0992s fit: 0.016513
27-Dec-2023 21:35:49 - iter: 53/70 time: 1.0988s fit: 0.017413
